Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord,xyStatus,crimeCat
16-037112,2016-07,07/29/2016 00:28,Y,NA,NA,1,NA,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",721,N TUCKER BLVD,36,NA,NA,NA,NA,906857.6,1019492,FALSE,13
16-037127,2016-07,07/29/2016 04:30,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3667,MONTANA ST,16,NA,NA,3667,MONTANA,892504.1,1001516,FALSE,14
16-037130,2016-07,07/29/2016 05:45,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3561,ITASKA ST,16,NA,APARTMENT COMPLEX,3561,ITASKA,892261.1,997983.6,FALSE,14
16-037198,2016-07,07/29/2016 09:43,Y,NA,NA,1,NA,130000,1,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",3826,CHIPPEWA ST,16,NA,NA,3826,CHIPPEWA,891458.8,1003305,FALSE,13
16-037185,2016-07,07/29/2016 10:50,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5030,NATURAL BRIDGE AVE,52,BURGER KING,NA,5030,NATURAL BRIDGE,890648.8,1035264,FALSE,14
16-037193,2016-07,07/29/2016 11:05,Y,NA,NA,1,NA,182999,3,DRUGS-POSSESSION/OTHR UNSPEC DRUG,3935,ILLINOIS AVE,18,NA,NA,3935,ILLINOIS,898966.4,1001134,FALSE,18
16-037195,2016-07,07/29/2016 11:30,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4970,CHIPPEWA ST,7,NA,APT B,4970,CHIPPEWA,884259.6,1004174,FALSE,14
16-037209,2016-07,07/29/2016 13:06,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,300,CARR ST,35,NA,WITHIN CROSS WALK,NA,NA,910117.3,1019851,FALSE,25
16-037237,2016-07,07/29/2016 13:35,Y,NA,NA,1,NA,182400,3,DRUGS-POSSESSION/MARIJUANA,3737,MINNESOTA AVE,19,NA,NA,3737,MINNESOTA,895790.9,1003288,FALSE,18
16-037221,2016-07,07/29/2016 14:06,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,810,N 3RD ST,35,NA,NA,NA,NA,910113.7,1018824,FALSE,25
16-037373,2016-07,07/29/2016 16:00,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3505,CLARENCE AVE,56,NA,NA,3505,CLARENCE,895480.9,1031907,FALSE,14
16-037601,2016-07,07/29/2016 17:00,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,8645,PARTRIDGE AVE,74,NA,NA,8645,PARTRIDGE,894216.8,1049332,FALSE,14
16-037256,2016-07,07/29/2016 17:38,Y,NA,NA,1,NA,183130,4,DRUGS-SALE/HEROIN,1915,OLIVE ST,36,NA,NA,1915,OLIVE,903703.7,1019090,FALSE,18
16-037271,2016-07,07/29/2016 18:00,Y,NA,NA,1,NA,182250,4,DRUGS-POSSESSION/COCAINE,1210,WRIGHT ST,63,NA,NA,1210,WRIGHT,906989.9,1026560,FALSE,18
16-037740,2016-08,07/29/2016 18:00,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4039,MCDONALD AVE,15,NA,NA,4039,MCDONALD,890284.6,1006544,FALSE,14
16-037284,2016-07,07/29/2016 20:19,Y,NA,NA,1,NA,151130,6,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,4125,SACRAMENTO AVE,68,NA,NA,NA,NA,897554.4,1032107,FALSE,15
16-037288,2016-07,07/29/2016 20:36,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,301,WALNUT ST,35,NA,NA,NA,NA,908992.9,1016349,FALSE,25
16-037290,2016-07,07/29/2016 20:52,Y,NA,NA,1,NA,182130,2,DRUGS-POSSESSION/HEROIN,0,I 44 WESTBOUND / S KINGSHIGHWA,39,NA,NA,NA,NA,886944.1,1014117,FALSE,18
16-037295,2016-08,07/29/2016 21:55,Y,NA,NA,1,NA,182400,4,DRUGS-POSSESSION/MARIJUANA,800,ST CHARLES ST,35,NA,NA,NA,NA,908271.3,1018474,FALSE,18
16-037308,2016-07,07/29/2016 22:32,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1311,S JEFFERSON AVE,31,NA,NA,NA,NA,900228.6,1014535,FALSE,14
16-037301,2016-07,07/29/2016 22:45,Y,NA,NA,1,NA,182999,3,DRUGS-POSSESSION/OTHR UNSPEC DRUG,3448,CHEROKEE ST,30,NA,NA,3448,CHEROKEE,894506.3,1005744,FALSE,18
16-037311,2016-08,07/29/2016 23:00,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2811,ST VINCENT AVE,31,NA,NA,2811,ST VINCENT,898631,1014109,FALSE,14
16-037402,2016-07,07/29/2016 23:30,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4101,GERMANIA ST,4,NA,NA,4101,GERMANIA,882853.8,992647.8,FALSE,14
16-037325,2016-07,07/30/2016 01:43,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4915,MAFFITT PL,55,NA,NA,4915,MAFFITT,890376,1032586,FALSE,14
16-037335,2016-07,07/30/2016 02:52,Y,NA,NA,1,NA,182250,5,DRUGS-POSSESSION/COCAINE,3900,GARFIELD AVE,56,NA,NA,3900,GARFIELD,897108.2,1026661,FALSE,18
16-037344,2016-07,07/30/2016 05:30,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5541,GRACE AVE,3,NA,APT 3N,5541,GRACE,890484.2,996647,FALSE,14
16-037358,2016-07,07/30/2016 07:35,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,626,N KINGSHIGHWAY BLVD,38,TACO BELL,NA,626,KINGSHIGHWAY,887855.3,1026074,FALSE,14
16-037526,2016-07,07/30/2016 10:30,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2500,S JEFFERSON AVE,23,NA,NA,NA,NA,899523.6,1009803,FALSE,14
16-037401,2016-07,07/30/2016 13:23,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,300,CARR ST,35,NA,NA,300,CARR,910318.8,1019871,FALSE,25
16-037406,2016-07,07/30/2016 13:27,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3605,S BROADWAY,18,NA,NA,1913,PRESIDENT,900384.8,1003749,FALSE,14
16-037413,2016-07,07/30/2016 14:13,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,721,N TUCKER BLVD,36,SHELL GAS STATION,NA,721,TUCKER,906857.6,1019492,FALSE,25
16-037621,2016-07,07/30/2016 15:00,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4425,S 38TH ST,16,NA,NA,4425,38TH,891724.4,1000436,FALSE,14
16-037564,2016-07,07/30/2016 16:00,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2933,HEBERT ST,59,NA,NA,2933,HEBERT,901458.9,1028721,FALSE,14
16-037853,2016-08,07/30/2016 16:00,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,917,ANN AVE,21,NA,NA,917,ANN,904080,1009655,FALSE,14
16-037451,2016-08,07/30/2016 16:01,Y,NA,NA,1,NA,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",5134,LOTUS AVE,52,NA,NA,5134,LOTUS,887956.4,1032007,FALSE,13
16-037497,2016-07,07/30/2016 16:15,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1500,ST CHARLES ST,36,BLOOD & SAND,NA,1500,ST CHARLES,905580.8,1019185,FALSE,14
16-037457,2016-07,07/30/2016 16:30,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2932,UNIVERSITY ST,59,NA,NA,2933,UNIVERSITY,900679.9,1027319,FALSE,14
16-037456,2016-07,07/30/2016 16:41,Y,NA,NA,1,NA,182130,4,DRUGS-POSSESSION/HEROIN,3298,N GARRISON AVE,59,NA,EAST CURB,NA,NA,901146.8,1028564,FALSE,18
16-037459,2016-07,07/30/2016 16:46,Y,NA,NA,1,NA,151130,3,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,3518,S GRAND BLVD,25,NA,NA,3620,ARKANSAS,893530.5,1004900,FALSE,15
16-037538,2016-07,07/30/2016 17:10,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,420,N TUCKER BLVD,35,NA,CITY STREET,420,TUCKER,906880.7,1018731,FALSE,25
16-037466,2016-07,07/30/2016 17:30,Y,NA,NA,1,NA,182130,4,DRUGS-POSSESSION/HEROIN,1100,E GRAND BLVD,66,NA,NA,NA,NA,904555.1,1033980,FALSE,18
16-037475,2016-07,07/30/2016 19:20,Y,NA,NA,1,NA,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",0,S 18TH ST / GRATIOT ST,36,NA,NA,NA,NA,903454.3,1015547,FALSE,13
16-037746,2016-07,07/30/2016 19:30,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,816,N CARDINAL AVE,59,NA,LOWER LEVEL APARTMENT,816,CARDINAL,899467,1021655,FALSE,14
16-037479,2016-07,07/30/2016 19:35,Y,NA,NA,1,NA,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",718,N GRAND BLVD,77,NA,@POWELL HALL,NA,NA,897315.3,1022082,FALSE,13
16-037485,2016-07,07/30/2016 19:50,Y,NA,NA,1,NA,182999,6,DRUGS-POSSESSION/OTHR UNSPEC DRUG,5529,MIMIKA AVE,76,NA,NA,5529,MIMIKA,889900.1,1046572,FALSE,18
16-037478,2016-08,07/30/2016 20:08,Y,NA,NA,1,NA,130000,1,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",5705,S BROADWAY,1,NA,NA,5705,BROADWAY,893596.5,993148.5,FALSE,13
16-037493,2016-07,07/30/2016 20:55,Y,NA,NA,1,NA,182400,2,DRUGS-POSSESSION/MARIJUANA,1324,HAMPTON AVE,41,NA,@TACO BELL - HAMPTON,NA,NA,880952.6,1016816,FALSE,18
16-037542,2016-07,07/30/2016 22:00,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1004,SPRUCE ST,35,NA,NA,1004,SPRUCE,906666.7,1015976,FALSE,14
16-037501,2016-08,07/30/2016 22:13,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3200,FRANKLIN AVE,77,NA,NA,3114,FRANKLIN,899026.6,1022062,FALSE,14
16-037532,2016-07,07/30/2016 22:30,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3622,JANUARY AVE,14,NA,NA,3622,JANUARY,880645.6,1005797,FALSE,14
16-037515,2016-07,07/30/2016 23:40,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3703,DELOR ST,16,NA,1ST FLR,3703,DELOR,890961.8,997996.5,FALSE,14
16-037518,2016-07,07/31/2016 00:30,Y,NA,NA,1,NA,250000,2,LOITERING-BEGGING,2807,SULPHUR AVE,11,7-ELEVEN STORE #19279,CONVENIENCE STORE,2807,WATSON,880214.2,1010929,FALSE,25
16-037611,2016-07,07/31/2016 04:30,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5825,SOUTHWEST AVE,13,NA,NA,5825,SOUTHWEST,881262.8,1010237,FALSE,14
16-037560,2016-07,07/31/2016 04:50,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4275,RED BUD AVE,68,NA,NA,4275,RED BUD,898184,1034806,FALSE,14
16-037548,2016-07,07/31/2016 06:00,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3737,DELOR ST,16,NA,DOWNSTAIRS,3737,DELOR,890755.8,998132.6,FALSE,14
16-037726,2016-08,07/31/2016 08:00,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1306,ST LOUIS AVE,63,NA,NA,1306,ST LOUIS,906825.3,1026145,FALSE,14
16-037570,2016-07,07/31/2016 08:45,Y,NA,NA,1,NA,151110,5,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,5903,HIGHLAND AVE,50,NA,NA,5900,HIGHLAND,882944.4,1035519,FALSE,15
16-037732,2016-07,07/31/2016 11:30,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4339,MANCHESTER AVE,39,NA,NA,4339,MANCHESTER,889251.4,1017265,FALSE,14
16-037594,2016-08,07/31/2016 11:50,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1128,N 9TH ST,62,NA,NA,1128,9TH,908464.2,1020468,FALSE,14
16-055671,2016-10,07/31/2016 13:30,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,710,N KINGSHIGHWAY BLVD,53,ALDI GROCERY STORE,ALDI GROCERY STORE,5703,WATERMAN,887772.9,1026200,FALSE,14
16-037815,2016-08,07/31/2016 13:37,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1530,LAFAYETTE AVE,33,NA,@WALGREENS,1530,LAFAYETTE,903270.1,1012207,FALSE,14
16-037605,2016-07,07/31/2016 14:17,Y,NA,NA,1,NA,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4865,GREER AVE,55,NA,NA,4865,GREER,891220,1033489,FALSE,15
16-037856,2016-08,07/31/2016 15:30,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5741,GOODFELLOW PL,50,NA,NA,5741,GOODFELLOW,885129.9,1037450,FALSE,14
16-039172,2016-08,07/31/2016 16:00,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5400,VIRGINIA AVE,1,NA,NA,5400,VIRGINIA,892986,995025.8,FALSE,14
16-037683,2016-07,07/31/2016 16:10,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3645,PAGE BLVD,77,NA,NA,3645,PAGE,897714.3,1024471,FALSE,14
16-037632,2016-07,07/31/2016 16:35,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,600,N BROADWAY,35,NA,NA,600,BROADWAY,909396,1018501,FALSE,25
16-037630,2016-07,07/31/2016 17:28,Y,NA,NA,1,NA,250000,1,LOITERING-BEGGING,4110,MERAMEC ST,16,NA,NA,NA,NA,889010.8,1003188,FALSE,25
16-037640,2016-07,07/31/2016 18:00,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1729,OFALLON ST,62,NA,APT A,1729,OFALLON,905421.5,1022269,FALSE,14
16-037696,2016-08,07/31/2016 18:00,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3355,COMMONWEALTH AVE,10,NA,NA,3353,COMMONWEALTH,873126.6,1009427,FALSE,14
16-037679,2016-07,07/31/2016 21:25,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,906,RIVERVIEW BLVD,74,NA,NA,906,RIVERVIEW,896740.5,1052737,FALSE,14
16-038088,2016-07,07/31/2016 21:30,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3220,S COMPTON AVE,30,NA,NA,3220,COMPTON,895680.5,1006567,FALSE,14
16-037735,2016-08,07/31/2016 23:00,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5976,PARK LN,73,NA,NA,5976,PARK,892121.3,1048655,FALSE,14
16-037745,2016-08,08/01/2016 00:01,Y,NA,NA,1,NA,142310,5,DESTRUCTION OF PROPERTY-MALICIOUS/PUBLIC PROP,3458,UNION BLVD,52,NA,SIDEWALK,NA,NA,889260.7,1036103,FALSE,14
16-037774,2016-08,08/01/2016 00:01,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1169,HOWELL ST,74,NA,NA,1169,HOWELL,894811.3,1051789,FALSE,14
16-037681,2016-08,08/01/2016 00:27,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,1128,WASHINGTON AVE,35,BOBBYS PLACE,NA,1128,WASHINGTON,907005.8,1018860,FALSE,25
16-037688,2016-08,08/01/2016 00:54,Y,NA,NA,1,NA,182400,6,DRUGS-POSSESSION/MARIJUANA,0,N BROADWAY / E CARRIE AVE,79,NA,NA,NA,NA,900400.6,1038447,FALSE,18
16-037699,2016-08,08/01/2016 03:29,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,36,COLUMBUS SQUARE DR,62,NA,NA,36,COLUMBUS SQUARE,908189.4,1020715,FALSE,14
16-037771,2016-08,08/01/2016 10:37,Y,NA,NA,1,NA,182999,4,DRUGS-POSSESSION/OTHR UNSPEC DRUG,0,N 11TH ST / MALLINCKRODT ST,65,NA,NA,NA,NA,906629.6,1029621,FALSE,18
16-037785,2016-08,08/01/2016 11:15,Y,NA,NA,1,NA,130000,3,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",2710,CHOUTEAU AVE,31,NA,NA,NA,NA,899793.2,1015646,FALSE,13
16-037806,2016-08,08/01/2016 12:11,Y,NA,NA,1,NA,151140,6,WEAPONS-STATE VIOL/UNLWFL USE/DISCHARGING,4200,NATURAL BRIDGE AVE,56,NA,NA,NA,NA,897089.9,1031824,FALSE,15
16-037808,2016-08,08/01/2016 12:30,Y,NA,NA,1,NA,182260,1,DRUGS-POSSESSION/METHAMPHETAMINE,3924,PRIMM ST,4,NA,NA,3924,PRIMM,884152.4,991084.8,FALSE,18
16-037809,2016-08,08/01/2016 12:30,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3947,FINNEY AVE,58,NA,NA,3947,FINNEY,895422.6,1024809,FALSE,14
16-037836,2016-08,08/01/2016 14:50,Y,NA,NA,1,NA,151110,3,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,4100,PENNSYLVANIA AVE,16,NA,NA,NA,NA,895748.3,1000684,FALSE,15
16-037845,2016-08,08/01/2016 15:40,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6600,MANCHESTER AVE,10,NA,PARKING LOT,6600,MANCHESTER,877121.1,1013930,FALSE,14
16-037865,2016-08,08/01/2016 16:47,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4308,DRYDEN CT,69,NA,NA,4308,DRYDEN,897489,1037240,FALSE,14
16-037907,2016-08,08/01/2016 19:00,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,202,N 9TH ST,35,PITA PIT,NA,202,9TH,907696.1,1017727,FALSE,14
16-037912,2016-08,08/01/2016 20:25,Y,NA,NA,1,NA,182400,2,DRUGS-POSSESSION/MARIJUANA,2110,HAMPTON AVE,12,HARDEES,@HARDEES-HAMPTON,NA,NA,881135.3,1013671,FALSE,18
16-037975,2016-08,08/01/2016 22:00,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5542,CLEMENS AVE,48,NA,NA,5542,CLEMENS,883072.8,1027825,FALSE,14
16-037924,2016-08,08/01/2016 22:38,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,1110,WASHINGTON AVE,35,NA,NA,NA,NA,907161.8,1018819,FALSE,25
16-037925,2016-08,08/01/2016 22:50,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,1106,N 11TH ST,62,NA,ON STREET,NA,NA,907804.7,1020556,FALSE,25
16-037934,2016-08,08/02/2016 00:01,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4850,HAMMETT PL,55,NA,NA,4850,HAMMETT,890121.6,1031143,FALSE,14
16-037937,2016-08,08/02/2016 00:10,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,305,DE BALIVIERE AVE,47,NA,@ EXPRESS MART,305,DE BALIVIERE,881596.2,1025069,FALSE,14
16-038063,2016-08,08/02/2016 01:00,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3608,HARRIS AVE,56,NA,NA,3606,HARRIS,897116.5,1031591,FALSE,14
16-037945,2016-08,08/02/2016 01:57,Y,NA,NA,1,NA,182130,5,DRUGS-POSSESSION/HEROIN,773,AUBERT AVE,53,NA,NA,773,AUBERT,888149.1,1026933,FALSE,18
16-037968,2016-08,08/02/2016 03:00,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3451,MONTANA ST,16,NA,NA,3451,MONTANA,893565.1,1001538,FALSE,14
16-037982,2016-08,08/02/2016 09:08,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5010,UNION BLVD,71,FAMILY DOLLAR,NA,NA,NA,892380.1,1040284,FALSE,14
16-037990,2016-08,08/02/2016 09:45,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,1300,ST CHARLES ST,36,NA,NA,NA,NA,906132.4,1018900,FALSE,25
16-038282,2016-08,08/02/2016 10:00,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1820,MARKET ST,36,NA,UNION STATON PARKING LOT,NA,NA,903731.7,1018016,FALSE,14
16-038011,2016-09,08/02/2016 10:30,Y,NA,NA,1,NA,130000,3,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",3855,VIRGINIA AVE,16,NA,NA,3855,VIRGINIA,894491.4,1002378,FALSE,13
16-038009,2016-08,08/02/2016 10:50,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1316,N 9TH ST,62,HOUSING AUTHORITY,NA,1316,9TH,908615.9,1021045,FALSE,14
16-038017,2016-08,08/02/2016 11:20,Y,NA,NA,1,NA,152200,4,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3800,COTTAGE AVE,59,NA,NA,NA,NA,898329.6,1027169,FALSE,15
16-038033,2016-08,08/02/2016 13:00,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,1123,WASHINGTON AVE,35,NA,NA,1123,WASHINGTON,907173.4,1019045,FALSE,25
16-038031,2016-08,08/02/2016 13:23,Y,NA,NA,1,NA,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",1414,HAMILTON AVE,78,NA,NA,1414,HAMILTON,881987.1,1033371,FALSE,13
16-038084,2016-08,08/02/2016 16:00,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,201,N 17TH ST,36,NA,NA,NA,NA,904517.3,1018616,FALSE,14
16-038133,2016-08,08/02/2016 19:45,Y,NA,NA,1,NA,182999,1,DRUGS-POSSESSION/OTHR UNSPEC DRUG,2736,CHARITON ST,17,NA,IN THE REAR,2736,CHARITON,896680.4,999205.9,FALSE,18
16-038126,2016-08,08/02/2016 20:20,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4932,TERRY AVE,55,NA,REAR PARKING PAD,4932,TERRY,890292.5,1032813,FALSE,14
16-038134,2016-08,08/02/2016 20:49,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5060,LOTUS AVE,52,NA,NA,5066,LOTUS,888335.4,1031796,FALSE,14
16-038253,2016-08,08/02/2016 21:00,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5236,DEVONSHIRE AVE,7,NA,NA,5236,DEVONSHIRE,882641.9,1002753,FALSE,14
16-038191,2016-08,08/02/2016 22:30,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5545,WELLS AVE,78,NA,NA,5545,WELLS,884581.3,1032106,FALSE,14
16-038487,2016-08,08/03/2016 01:50,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,169,E GRAND AVE,64,NA,NA,169,GRAND,905851.1,1034843,FALSE,14
16-038202,2016-08,08/03/2016 09:21,Y,NA,NA,1,NA,151130,4,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,2608,ST LOUIS AVE,59,NA,NA,2601,ST LOUIS,902061.5,1026745,FALSE,15
16-038195,2016-08,08/03/2016 09:45,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,315,N 9TH ST,35,NA,NA,NA,NA,907779.2,1018012,FALSE,25
16-038194,2016-08,08/03/2016 09:46,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,300,CARR ST,35,NA,WITHIN 20 FEET OF CROSS WALK,300,CARR,910318.8,1019871,FALSE,25
16-038246,2016-08,08/03/2016 10:30,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1325,S GRAND BLVD,29,SLU HOSPITAL,NA,1325,GRAND,894902.8,1015747,FALSE,14
16-038209,2016-08,08/03/2016 10:35,Y,NA,NA,1,NA,182130,1,DRUGS-POSSESSION/HEROIN,8658,S BROADWAY,2,NA,NA,8500,BROADWAY,886948.7,985125.4,FALSE,18
16-038238,2016-08,08/03/2016 12:53,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,810,N 3RD ST,35,NA,NA,810,3RD,910113.7,1018824,FALSE,25
16-038240,2016-08,08/03/2016 13:13,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,100,S MEMORIAL DR,35,NA,ON SIDEWALK,NA,NA,909304.8,1015465,FALSE,25
16-038256,2016-08,08/03/2016 13:59,Y,NA,NA,1,NA,182250,5,DRUGS-POSSESSION/COCAINE,6116,DR MARTIN LUTHER KING DR,78,NA,NA,NA,NA,881259.9,1034806,FALSE,18
16-038262,2016-08,08/03/2016 14:52,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,0,N 3RD ST / CARR ST,35,NA,NA,NA,NA,909973.4,1019846,FALSE,25
