Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord,xyStatus,crimeCat
16-017732,2016-04,04/15/2016 21:36,Y,NA,NA,1,NA,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",1423,MONTCLAIR AVE,78,NA,NA,1400,MONTCLAIR,883982.1,1032131,FALSE,13
16-017802,2016-04,04/15/2016 22:30,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4409,CHIPPEWA ST,15,NA,NA,4409,CHIPPEWA,886842.2,1004175,FALSE,14
16-017737,2016-04,04/15/2016 22:49,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3920,N GRAND BLVD,67,KING S FRIED RICE,NA,4009,23RD,901607.1,1030425,FALSE,14
16-017787,2016-04,04/15/2016 23:00,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1918,E OBEAR AVE,66,NA,NA,1918,OBEAR,903209.7,1033402,FALSE,14
16-017763,2016-04,04/15/2016 23:00,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,405,WASHINGTON AVE,35,NA,NA,NA,NA,909542.8,1018469,FALSE,14
16-018112,2016-04,04/16/2016 00:10,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4484,PENROSE ST,69,NA,NA,4484,PENROSE,895666.4,1035224,FALSE,14
16-017754,2016-04,04/16/2016 00:30,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,720,N 2ND ST,35,NA,@LACLEDES LANDING WAX MUSEUM,NA,NA,910422.9,1018661,FALSE,14
16-017759,2016-04,04/16/2016 02:00,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1500,HICKORY LN,33,NA,NA,1500,HICKORY,903943.9,1013999,FALSE,14
16-017766,2016-04,04/16/2016 04:26,Y,NA,NA,1,NA,182250,5,DRUGS-POSSESSION/COCAINE,5100,WELLS AVE,51,NA,NA,NA,NA,887168.2,1030398,FALSE,18
16-017769,2016-04,04/16/2016 06:15,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1304,RUTGER ST,33,NA,NA,1304,RUTGER,904740.4,1013176,FALSE,14
16-017784,2016-04,04/16/2016 10:42,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,400,COLE ST,62,NA,NA,NA,NA,909780.6,1019712,FALSE,25
16-017981,2016-04,04/16/2016 11:00,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1908,SIDNEY ST,22,NA,NA,1907,SIDNEY,901377.6,1008498,FALSE,14
16-018014,2016-04,04/16/2016 11:30,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1436,N 16TH ST,61,NA,NA,NA,NA,906255.6,1022433,FALSE,14
16-017800,2016-04,04/16/2016 12:08,Y,NA,NA,1,NA,182400,4,DRUGS-POSSESSION/MARIJUANA,500,S 14TH ST,36,NA,NA,NA,NA,905278.1,1015842,FALSE,18
16-017872,2016-04,04/16/2016 13:00,Y,NA,NA,1,NA,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",5432,ORIOLE AVE,72,NA,NA,1,CHILDRENS,891183.5,1044879,FALSE,13
16-017821,2016-04,04/16/2016 14:00,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,811,N 9TH ST,35,NA,@HOTEL- HOLIDAY INN SELECT,811,9TH,908092,1019473,FALSE,25
16-017824,2016-04,04/16/2016 14:50,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,N 25TH ST / NEWHOUSE AVE,65,NA,NA,NA,NA,903092.8,1030016,FALSE,14
16-017823,2016-04,04/16/2016 15:10,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,0,N 3RD ST / CARR ST,62,NA,NA,NA,NA,909973.4,1019846,FALSE,25
16-017835,2016-04,04/16/2016 15:34,Y,NA,NA,1,NA,250000,3,LOITERING-BEGGING,3100,S GRAND BLVD,25,NA,NA,NA,NA,893984.2,1008284,FALSE,25
16-017874,2016-04,04/16/2016 16:14,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5962,MAPLE AVE,48,NA,NA,NA,NA,879647.8,1029694,FALSE,14
16-017857,2016-04,04/16/2016 16:17,Y,NA,NA,1,NA,182130,6,DRUGS-POSSESSION/HEROIN,5001,N KINGSHIGHWAY BLVD,71,NA,NA,NA,NA,893059.2,1039136,FALSE,18
16-017858,2016-04,04/16/2016 16:50,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3941,DUNNICA AVE,16,NA,NA,3941,DUNNICA,890675.6,1003244,FALSE,14
16-018025,2016-04,04/16/2016 17:30,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,400,CONVENTION PZ,35,NA,NA,400,CONVENTION,909665.2,1018855,FALSE,25
16-017870,2016-04,04/16/2016 17:50,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2116,E ADELAIDE AVE,68,NA,NA,2116,ADELAIDE,900604.4,1035064,FALSE,14
16-017972,2016-04,04/16/2016 19:00,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,712,SHENANDOAH AVE,21,NA,NA,712,SHENANDOAH,904375.8,1008960,FALSE,14
16-017916,2016-04,04/16/2016 21:00,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3411,DELMAR BLVD,77,NA,NA,3411,DELMAR,898081.8,1021951,FALSE,14
16-017900,2016-04,04/16/2016 21:30,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,836,HARLAN AVE,74,NA,NA,836,HARLAN,897191.1,1051782,FALSE,14
16-017907,2016-04,04/16/2016 21:45,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,300,S BROADWAY,35,NA,NA,NA,NA,908563.8,1015732,FALSE,14
16-017905,2016-04,04/16/2016 22:40,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3817,WISCONSIN AVE,18,NA,NA,3817,WISCONSIN,899437.8,1001982,FALSE,14
16-017984,2016-04,04/16/2016 23:30,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1405,PINE ST,36,NA,NA,NA,NA,905730.9,1018275,FALSE,14
16-018005,2016-04,04/17/2016 00:02,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5629,ENRIGHT AVE,48,NA,NA,5629,ENRIGHT,882262.8,1027291,FALSE,14
16-017923,2016-04,04/17/2016 00:29,Y,NA,NA,1,NA,182250,5,DRUGS-POSSESSION/COCAINE,4226,COOK AVE,58,NA,NA,4226,COOK,893871.5,1025860,FALSE,18
16-017922,2016-04,04/17/2016 01:05,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4835,TERRACE AVE,6,NA,NA,4835,TERRACE,883228,999348.1,FALSE,14
16-017965,2016-04,04/17/2016 03:00,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1000,LAMI ST,21,NA,NA,1000,LAMI,903808.6,1008985,FALSE,14
16-017954,2016-04,04/17/2016 04:57,Y,NA,NA,1,NA,182400,5,DRUGS-POSSESSION/MARIJUANA,5800,WELLS AVE,78,NA,NA,NA,NA,882946.8,1033140,FALSE,18
16-018335,2016-04,04/17/2016 12:00,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3215,BLAIR AVE,65,NA,NA,3215,BLAIR,906311.6,1027735,FALSE,14
16-018963,2016-04,04/17/2016 12:00,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3930,LACLEDE AVE,38,NA,@LACLEDE GARAGE,3930,LACLEDE,893617.8,1020521,FALSE,14
16-017998,2016-04,04/17/2016 12:25,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4757,SAINT LOUIS AVE,55,NA,NA,1818,SAINT LOUIS,891679.6,1032259,FALSE,14
16-018002,2016-04,04/17/2016 12:45,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3415,DELMAR BLVD,77,NA,NA,3415,DELMAR,898064.4,1021956,FALSE,14
16-018006,2016-04,04/17/2016 12:53,Y,NA,NA,1,NA,182999,5,DRUGS-POSSESSION/OTHR UNSPEC DRUG,4949,BARNES JEWISH HOSPITAL PLZ,38,NA,@BARNES JEWISH HOSPITAL,4949,NA,887396.8,1020150,FALSE,18
16-018224,2016-04,04/17/2016 16:30,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,823,COLE ST,35,NA,NA,823,COLE,908657.5,1019991,FALSE,14
16-018028,2016-04,04/17/2016 16:35,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,801,CLARK AVE,35,NA,NA,801,CLARK,907621.4,1016270,FALSE,25
16-018041,2016-04,04/17/2016 17:43,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,300,CARR ST,35,NA,WITHIN  20 FEET OF CROSSWALK,900,BROADWAY,910117.3,1019851,FALSE,25
16-018078,2016-04,04/17/2016 18:23,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1380,S KINGSHIGHWAY BLVD,39,STL PRO,NA,1380,KINGSHIGHWAY,887294,1015222,FALSE,14
16-018053,2016-04,04/17/2016 18:40,Y,NA,NA,1,NA,182400,5,DRUGS-POSSESSION/MARIJUANA,660,ROSEDALE AVE,48,NA,NA,NA,NA,878256.1,1028063,FALSE,18
16-018067,2016-04,04/17/2016 19:30,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,8500,ALABAMA AVE,1,NA,NA,3157,SUBLETTE,885537.4,987195.1,FALSE,14
16-018125,2016-04,04/17/2016 20:00,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2800,STODDARD ST,59,NA,NA,2800,STODDARD,901215.1,1022057,FALSE,14
16-018071,2016-04,04/17/2016 21:00,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3660,BATES ST,3,NA,APT 1W,3660,BATES,890012.1,996284.7,FALSE,14
16-018174,2016-04,04/17/2016 21:30,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5615,WATERMAN BLVD,47,NA,NA,5615,WATERMAN,882275.8,1025492,FALSE,14
16-018120,2016-04,04/17/2016 22:00,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4222,VISTA AVE,39,NA,NA,4222,VISTA,890357.7,1016265,FALSE,14
16-018079,2016-04,04/17/2016 22:10,Y,NA,NA,1,NA,182400,4,DRUGS-POSSESSION/MARIJUANA,736,S BROADWAY,35,NA,NA,NA,NA,908097.1,1014297,FALSE,18
16-018094,2016-04,04/17/2016 22:30,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3612,BAMBERGER AVE,15,NA,NA,3612,BAMBERGER,891944,1004230,FALSE,14
16-018084,2016-04,04/18/2016 00:05,Y,NA,NA,1,NA,151110,6,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,4600,BULWER AVE,64,NA,NA,NA,NA,905031.9,1034574,FALSE,15
16-018092,2016-04,04/18/2016 00:45,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4101,TOENGES AVE,4,NA,NA,4101,TOENGES,885268.5,995830.9,FALSE,14
16-018101,2016-04,04/18/2016 02:54,Y,NA,NA,1,NA,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,701,VALLEY DR,75,NA,NA,NA,NA,904746.2,1059554,FALSE,15
16-018210,2016-04,04/18/2016 07:00,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4827,SACRAMENTO AVE,69,NA,SINGLE FAMILY RESIDENCE,4827,SACRAMENTO,892742.6,1034770,FALSE,14
16-018122,2016-04,04/18/2016 07:00,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4233,BEETHOVEN AVE,5,NA,NA,4233,BEETHOVEN,887678.9,1002826,FALSE,14
16-018169,2016-04,04/18/2016 11:18,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,9101,GATELAND AVE,73,NA,NA,9101,GATELAND,892783.3,1051507,FALSE,14
16-018181,2016-04,04/18/2016 12:15,Y,NA,NA,1,NA,151130,3,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,3423,VIRGINIA AVE,30,NA,NA,3416,VIRGINIA,894953.1,1005296,FALSE,15
16-018190,2016-05,04/18/2016 13:00,Y,NA,NA,1,NA,182130,2,DRUGS-POSSESSION/HEROIN,5828,LINDENWOOD AVE,14,NA,NA,5828,LINDENWOOD,879502.3,1005160,FALSE,18
16-018195,2016-04,04/18/2016 14:51,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,800,N BROADWAY,35,NA,NA,800,BROADWAY,909539.6,1018995,FALSE,25
16-018333,2016-04,04/18/2016 15:00,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3211,SUBLETTE AVE,14,HILLCREST ABBEY,NA,3211,SUBLETTE,882394.5,1008497,FALSE,14
